X,Y,Linha
204986.930123391,7230535.770942434,18662075
204986.335829855,7230534.527308134,18662075
204986.903268215,7230534.362210426,18662075
204986.686609709,7230533.017511215,18662075
204987.18771498,7230532.872322595,18662075
204987.754181808,7230532.708196329,18662075
204987.22743721,7230531.458714638,18662075
204987.725117993,7230531.314978532,18662075
204988.286564126,7230531.152826237,18662075
204987.767027159,7230529.897804604,18662075
204988.269831634,7230529.752486004,18662075
204988.827119565,7230529.591420805,18662075
204988.317803255,7230528.339824001,18662075
204988.880154867,7230528.177606187,18662075
204989.374154349,7230528.035105456,18662075
204988.861440232,7230526.78953935,18662075
204989.426873726,7230526.626969521,18662075
204989.927064893,7230526.483157749,18662075
204989.423370228,7230525.232005163,18662075
204989.984916806,7230525.070561453,18662075
204990.488908748,7230524.925664606,18662075
204989.954037173,7230523.685162986,18662075
204990.520100406,7230523.522546294,18662075
204991.081498282,7230523.361269848,18662075
204990.500022282,7230522.141446693,18662075
204991.058910755,7230521.981371343,18662075
204991.622456633,7230521.819962032,18662075
204991.019491493,7230520.605137643,18662075
204991.58537722,7230520.443245008,18662075
204992.145044422,7230520.283131412,18662075
204991.559149082,7230519.061324286,18662075
204992.122155615,7230518.900158803,18662075
204992.678941082,7230518.740774153,18662075
204992.184650647,7230517.490742659,18662075
204992.684498378,7230517.34761159,18662075
204992.501472926,7230516.010124216,18662075
204992.753826935,7230515.937948814,18662075
204993.260092695,7230515.793152483,18662075
204993.052238404,7230514.462958652,18662075
204993.610475221,7230514.303476325,18662075
204994.174949322,7230514.142212073,18662075
204993.625433508,7230512.917113082,18662075
204994.186367831,7230512.757480147,18662075
204993.769293121,7230511.493642205,18662075
204994.216691402,7230511.366413874,18662075
204994.777887852,7230511.206824329,18662075
204995.27828802,7230511.064523651,18662075
204994.804458947,7230509.805497753,18662075
204995.364490963,7230509.645678565,18662075
204994.857136659,7230508.402502263,18662075
204995.364129175,7230508.258270652,18662075
204995.93371336,7230508.096232668,18662075
204995.450302039,7230506.860037536,18662075
204995.951999338,7230506.718431393,18662075
204996.517776353,7230506.558738483,18662075
204996.008092314,7230505.3270003,18662075
204996.509717889,7230505.18535748,18662075
204997.078539413,7230505.0247407,18662075
204996.612826903,7230503.779191143,18662075
204997.112713985,7230503.637869893,18662075
204997.68133554,7230503.477116971,18662075
204997.234493777,7230502.245501372,18662075
204997.742012258,7230502.10322265,18662075
204998.308689334,7230501.944359291,18662075
204997.865024876,7230500.708968725,18662075
204998.366699676,7230500.568416217,18662075
204998.210828586,7230499.202134795,18662075
204998.477798527,7230499.163495777,18662075
204998.985498396,7230499.020406285,18662075
204998.817984603,7230497.693724252,18662075
204999.069858994,7230497.622753057,18662075
